Code,Product Name,Unit,Current Stock,Cost Price,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.,Barcode
10028644,JWAR KA AATA 500GM,\PCS,3,0,40,16,20,HINDUSTAN UNILEVER LTD,,,AATA16
10024386,KABULI CHANA 1kg (1000 GM),KG,-1,0,80,0,75,GENERAL,,,99901000002843
10026120,KABULI HING 25g,PCS,2,0,60,30.48,45,TEMPTIN,,,8903553205248
10026119,KABULI HING 50g,PCS,-1,0,110,61.9,80,TEMPTIN,,,8903553205293
10027203,KACARI 200Gm,PCS,-44,0,30,18,20,HINDUSTAN UNILEVER LTD,,,KACARI18
10018107,KACHARIA 250GM (250 GM),PACK,-3,0,0,0,20,GENERAL,,,99901000000291
10026069,KACHI CHIRONGI 100g,PCS,20,0,0,9.3,115,GENERAL,,,CHIRONJI93
10027249,KACHIRI KACHRI715200GM,PCS,150,0,70,15,45,HINDUSTAN UNILEVER LTD,,,KACHRI715
10026258,KACHRI,PCS,-9,0,25,9.8,15,NILONs,,,KACHRI9.8
10026360,KACHRI,PCS,2,13,30,13,18,HINDUSTAN UNILEVER LTD,,,KACHRI13
10026367,KACHRI,PCS,4,0,20,10,12,HINDUSTAN UNILEVER LTD,,,KACHRI10
10027566,KACHRI,PCS,-190,0,30,18,20,HINDUSTAN UNILEVER LTD,,,KACHRI18
