code,product_name,unit,stock,cost_price,mrp,purchase_price,sales_price,company,barcode
10014041,GIL Vec3 Cart 2s,PACK,1,0,130,0,122,P & G,4902430655279
10026940,GILETTE 2 REFILLS,PCS,-1,0,350,276.33,320,HINDUSTAN UNILEVER LTD,4902430857277
10026928,GILLETE,PCS,3,5,4,90.25,100,HINDUSTAN UNILEVER LTD,4902430853446
10026923,GILLETE MACH3 STAR,PCS,3,0,220,188.28,210,HINDUSTAN UNILEVER LTD,4902430921770
10026925,GILLETTE,PCS,4,0,65,55.14,62,HINDUSTAN UNILEVER LTD,4902430927178
10027199,GILLETTE,PCS,11,0,60,46.8,56,HINDUSTAN UNILEVER LTD,4902430914697
10027550,GILLETTE,PCS,-1,0,400,350,380,HINDUSTAN UNILEVER LTD,4902430921794
10011860,GILLETTE 7 OClock  22/--,PACK,10,0,22,0,22,P & G,4902430684224
10028150,GILLETTE CECTOR+ 6N,PCS,2,0,165,124.85,160,HINDUSTAN UNILEVER LTD,4902430927215
10027403,GILLETTE CECTORE+ 4 BLADS,PCS,2,0,120,107.14,115,HINDUSTAN UNILEVER LTD,4902430927192
10022930,Gillette FOAM LEMON LIME 196G,PACK,1,0,185,0,180,gillette india,4902430722131
10022310,GILLETTE FUSION,PACK,1,0,350,0,330,P & G,4902430778206
10027406,GILLETTE FUSION 5,PCS,2,0,1000,892.86,920,HINDUSTAN UNILEVER LTD,4902430922449
10027407,GILLETTE FUSIONG,PCS,2,0,550,491.07,520,HINDUSTAN UNILEVER LTD,4902430922388
10022157,Gillette guard 1 blade,PACK,914789,0,10,0,10,P & G,4902430818803
10022156,Gillette guard 22/-,PACK,-19,0,22,0,20,P & G,4902430818858
10027198,GILLETTE GUARD 3,PCS,12,0,90,70.73,85,HINDUSTAN UNILEVER LTD,4902430914734
10028027,GILLETTE GUARD 3,PCS,9,0,340,310,320,HINDUSTAN UNILEVER LTD,4902430914703
10027197,GILLETTE GUARD 3.5,PCS,-2,0,35,27.89,34,HINDUSTAN UNILEVER LTD,4902430914710
10026926,GILLETTE GUARD 33/ EXTRA FREE,PCS,5,0,49,37.04,45,HINDUSTAN UNILEVER LTD,4902430297318
10025438,GILLETTE GUARD 3P,PACK,14,0,27,0,26,P & G,4902430853880
10026937,GILLETTE GUARD GEL 80G,PCS,1,0,49,37.04,45,HINDUSTAN UNILEVER LTD,4902430297233
10021469,Gillette Lime Shave crm,PACK,-4,0,85,0,0,Procter & gamble,4902430785945
10026924,GILLETTE MACH3,PCS,3,0,169,143.34,162,HINDUSTAN UNILEVER LTD,4902430838900
